# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
xiao 	笑	c=3 d=2.05926 t=7296
xiao bu men 	小部門	c=1 d=1 t=4414
xiao cheng 	削成	c=1 d=1 t=4640
xiao chou 	小丑	c=0 d=0.1 t=550
xiao chuang 	小窗	c=0 d=0.1 t=4050
xiao chuang kou 	小窗口	c=1 d=1 t=4051
xiao cong ming 	小聰明	c=1 d=1 t=4472
xiao deng 	小鄧	c=1 d=1 t=1923
xiao dian 	小店	c=1 d=1 t=1265
xiao fang 	效仿	c=2 d=1.99005 t=7051
xiao fei 	消費	c=1 d=1 t=7084
xiao guo 	效果	c=1 d=1 t=3457
xiao hong 	小紅	c=0 d=0.1 t=5900
xiao hong shu 	小紅書	c=1 d=1 t=5901
xiao lang hao 	小狼毫	c=1 d=0.826959 t=8218
xiao lv 	效率	c=2 d=1.04243 t=984
xiao lv gao 	效率高	c=1 d=1 t=2680
xiao mian 	削麪	c=2 d=1.002 t=6605
xiao pao 	小跑	c=1 d=1 t=4803
xiao shi 	小時	c=1 d=1 t=7365
xiao shi hou 	小時候	c=1 d=1 t=7348
xiao shuo 	小說	c=1 d=1 t=315
xiao xi 	消息	c=1 d=1 t=3432
xiao xin 	小心	c=0 d=0.1 t=5188
xiao xue sheng 	小學生	c=2 d=1.90937 t=3846
xiao zhang 	校長	c=1 d=1 t=5113
xiao zhao 	小趙	c=1 d=1 t=990
xie 	些	c=1 d=1 t=4689
xie 	寫	c=7 d=1 t=7433
xie 	謝	c=0 d=0.1 t=4874
xie 	鞋	c=1 d=1 t=4877
xie de 	寫的	c=1 d=1 t=5041
xie fa 	寫法	c=1 d=1 t=613
xie ge 	寫個	c=1 d=1 t=2521
xie guo 	寫過	c=0 d=0.1 t=1889
xie le 	卸了	c=1 d=0.1 t=3798
xie le xie le 	卸了卸了	c=1 d=1 t=3799
xie qian 	些錢	c=0 d=0.1 t=4605
xie qian duan 	些錢端	c=1 d=1 t=4606
xie xie 	謝謝	c=0 d=0.1 t=8007
xie xie hui gu 	謝謝惠顧	c=2 d=1.99005 t=8010
xie yi ge 	寫一個	c=1 d=1 t=202
xie zai 	卸載	c=2 d=1.00001 t=5666
xin 	信	c=1 d=1 t=6201
xin 	新	c=2 d=1 t=6592
xin 	鑫	c=0 d=0.1 t=5659
xin de 	新的	c=1 d=1 t=7478
xin dong tai 	新動態	c=1 d=1 t=3620
xin fei 	心肺	c=1 d=1 t=1819
xin fu 	信服	c=0 d=0.1 t=6064
xin guang da 	鑫廣達	c=1 d=1 t=5660
xin jian 	新建	c=1 d=1 t=4323
xin jiang 	新疆	c=0 d=0.1 t=547
xin jiang mian 	新疆棉	c=4 d=3.44499 t=597
xin qing 	心情	c=1 d=1 t=1659
xin ren 	新人	c=1 d=1 t=6233
xin teng 	心疼	c=0 d=0.1 t=5871
xin wen xue 	新聞學	c=1 d=1 t=6892
xin xi 	信息	c=5 d=1.96856 t=7468
xin yi 	心意	c=1 d=1 t=1586
xin zeng 	新增	c=3 d=1 t=7524
xing 	型	c=0 d=0.1 t=2808
xing 	行	c=0 d=0.101925 t=5910
xing ba ke 	星巴克	c=1 d=1 t=7098
xing bie 	性別	c=1 d=1 t=6916
xing fu 	幸福	c=1 d=1 t=6642
xing hao 	型號	c=1 d=1 t=3559
xing neng 	性能	c=1 d=1 t=2815
xing yuan 	星願	c=1 d=1 t=5295
xiu 	修	c=1 d=1 t=6580
xiu fu 	修復	c=1 d=0.102442 t=4279
xiu gai 	修改	c=12 d=1.96694 t=5341
xiu guo 	修過	c=0 d=0.1 t=4301
xiu jiao 	修腳	c=1 d=1 t=6442
xiu men 	修門	c=1 d=1 t=7022
xiu mian 	休眠	c=1 d=1 t=3870
xiu se ke can 	秀色可餐	c=1 d=1 t=1706
xiu xiu 	秀秀	c=0 d=0.1 t=4116
xiu zheng 	修正	c=1 d=1 t=6209
xu 	續	c=1 d=1.08511 t=4207
xu 	需	c=1 d=1 t=4418
xu ni hua 	虛擬化	c=1 d=1 t=3889
xu qiu 	需求	c=2 d=1 t=7671
xu yao 	需要	c=6 d=1.00004 t=7507
xu yi xia 	續一下	c=1 d=1 t=4208
xuan ci 	選詞	c=1 d=0.873716 t=8218
xuan yan 	宣言	c=1 d=1 t=6252
xue 	學	c=4 d=1.02278 t=4740
xue 	血	c=1 d=1 t=3946
xue 	雪	c=0 d=0.1 t=7110
xue dao 	學到	c=0 d=0.071177 t=8218
xue dao le 	學到了	c=1 d=0.715338 t=8218
xue guo 	學過	c=1 d=1 t=7843
xue han qian 	血汗錢	c=1 d=1 t=1216
xue xi 	學習	c=4 d=1.61165 t=2782
xue xi le 	學習了	c=1 d=1 t=2466
xue zhe 	學者	c=1 d=1 t=1856
xun huan 	循環	c=2 d=1.97531 t=429
xun lian 	訓練	c=1 d=1 t=2804
xun si 	尋思	c=0 d=0.1 t=1032
xun xin 	尋釁	c=0 d=0.1 t=1474
xun xin zi shi 	尋釁滋事	c=1 d=1 t=1475
ya 	呀	c=0 d=0.1 t=903
ya gen 	壓根	c=1 d=1 t=6211
ya li 	壓力	c=1 d=1 t=7686
ya zhi 	壓制	c=1 d=1 t=6817
yan jiu 	研究	c=1 d=1.00011 t=2251
yan jiu yan jiu 	研究研究	c=1 d=1 t=895
yan mai 	燕麥	c=0 d=0.1 t=4762
yan se 	顏色	c=2 d=1 t=7149
yan yuan 	演員	c=1 d=1 t=5607
yan zheng 	驗證	c=2 d=1.00048 t=4883
yan zheng ma 	驗證碼	c=1 d=1 t=3364
yang dang 	樣當	c=1 d=1 t=6216
yang le 	養了	c=1 d=1 t=7700
yang li 	陽曆	c=1 d=1 t=3833
yao 	咬	c=1 d=1 t=6467
yao 	腰	c=0 d=0.1 t=6465
yao 	要	c=13 d=1.50414 t=5165
yao bu yao 	要不要	c=2 d=1 t=6722
yao gong 	邀功	c=1 d=1 t=5701
yao qiu 	要求	c=2 d=1 t=6384
yao ren 	咬人	c=1 d=1 t=319
yao ren 	要人	c=1 d=1 t=320
yao sha 	要啥	c=1 d=1 t=901
yao sha 	要殺	c=1 d=1 t=900
yao shi 	要是	c=5 d=1.03159 t=6387
yao shuo 	要說	c=1 d=1 t=1944
yao wo 	要我	c=3 d=1.98511 t=6579
yao xian 	要先	c=1 d=1 t=5205
yao yi xia 	腰一下	c=1 d=1 t=6466
yao yong 	要用	c=1 d=1 t=452
yao zuo 	要做	c=0 d=0.1 t=7632
yao zuo hao 	要做好	c=1 d=1 t=7633
ye 	也	c=23 d=2.98596 t=7928
ye bu 	也不	c=0 d=0.1 t=1018
ye bu shi 	也不是	c=1 d=1 t=6495
ye bu xiang shi 	也不像是	c=1 d=1 t=1019
ye bu yi ding 	也不一定	c=1 d=1 t=7862
ye bu zhi 	也不知	c=1 d=1 t=7833
ye hui 	也會	c=1 d=1 t=1150
ye jiu 	也就	c=1 d=1 t=5755
ye kan 	也看	c=1 d=1 t=1829
ye ke neng 	也可能	c=4 d=1 t=7170
ye ke yi 	也可以	c=8 d=1.00225 t=2250
ye lu sa leng 	耶路撒冷	c=2 d=1.99501 t=7771
ye mei you 	也沒有	c=1 d=1 t=8128
ye mian 	頁面	c=5 d=1.68294 t=4395
ye shi 	也是	c=8 d=1.77513 t=7732
ye su 	耶穌	c=5 d=4.25158 t=7961
ye suan shi 	也算是	c=1 d=1 t=1677
ye ting nan 	也挺難	c=1 d=1 t=7635
ye wu 	業務	c=4 d=1.29084 t=4467
ye xing 	也行	c=1 d=1 t=856
ye you 	也有	c=1 d=1 t=1708
ye zai 	也在	c=1 d=1 t=4613
ye zhu 	業主	c=1 d=1.08958 t=3037
ye zhu qun 	業主羣	c=1 d=1 t=3016
yi 	一	c=3 d=1.17996 t=6445
yi 	以	c=1 d=0.1 t=3995
yi 	億	c=2 d=1.91851 t=1078
yi 	已	c=1 d=1 t=2867
yi 	憶	c=0 d=0.1 t=5044
yi ba 	一把	c=2 d=1.00434 t=6824
yi ban 	一般	c=4 d=1.05182 t=8077
yi ban dou shi 	一般都是	c=1 d=1 t=1274
yi ban shi 	一半是	c=1 d=1 t=6971
yi ban shuo 	一般說	c=1 d=1 t=3028
yi bao 	宜寶	c=1 d=1 t=1277
yi bi zhi jian 	以鄙之間	c=1 d=1 t=3996
yi bian 	一邊	c=2 d=1.99005 t=6128
yi bo 	一波	c=1 d=1 t=6001
yi bu 	一步	c=1 d=1 t=1687
yi chu 	溢出	c=1 d=1 t=7585
yi chu 	移除	c=1 d=1 t=2594
yi ci 	一次	c=3 d=1.00669 t=2637
yi dai 	一帶	c=1 d=1 t=4071
yi dan 	一旦	c=1 d=1 t=2214
yi dian 	一點	c=1 d=1 t=5776
yi ding 	一定	c=1 d=1 t=1067
yi dong 	一動	c=2 d=1 t=5959
yi dong 	移動	c=2 d=1 t=5960
yi dong bu dong 	一動不動	c=1 d=1 t=6904
yi dong duan 	移動段	c=1 d=1 t=1549
yi duan 	一端	c=1 d=1 t=7506
yi duan shi jian 	一段時間	c=1 d=1 t=4620
yi dui 	一堆	c=2 d=1.00016 t=3303
yi dun 	一頓	c=0 d=0.1 t=3050
yi e 	溢惡	c=1 d=1 t=2700
yi er san 	一二三	c=0 d=0.1 t=6599
yi er san si wu liu qi 	一二三四五六七	c=1 d=1 t=6600
yi fen 	一份	c=3 d=1.106 t=7984
yi fen zhong 	一分鐘	c=1 d=1 t=3853
yi fu 	衣服	c=1 d=1 t=6469
yi ge 	一個	c=32 d=0.755784 t=8218
yi ge ren 	一個人	c=1 d=1 t=1945
yi ge yue 	一個月	c=2 d=1.91851 t=7224
yi gen 	一根	c=1 d=1 t=5567
yi guo 	一國	c=4 d=2.74951 t=6300
yi hang 	一行	c=1 d=1 t=3116
yi hou 	以後	c=3 d=0.718924 t=8218
yi hui 	一會	c=1 d=1 t=5349
yi huo 	一夥	c=1 d=1 t=1020
yi ji 	一級	c=1 d=1 t=3074
yi ji 	以及	c=2 d=1.08848 t=2562
yi jian 	一減	c=1 d=1 t=7187
yi jian 	一鍵	c=1 d=1 t=1672
yi jin 	一斤	c=0 d=0.1 t=7119
yi jin duo 	一斤多	c=3 d=2.98012 t=7123
yi jing 	已經	c=1 d=1 t=6695
yi jing shi 	已經是	c=1 d=1 t=1777
yi jing you le 	已經有了	c=1 d=1 t=1725
yi ju 	一句	c=1 d=1 t=669
yi ju 	移居	c=1 d=1 t=4977
yi kan 	一看	c=4 d=1.00365 t=5262
yi kou 	一口	c=0 d=0.1 t=4371
yi kou yi ge wo lao gong 	一口一個我老公	c=1 d=1 t=4372
yi kuai 	一塊	c=1 d=1 t=7914
yi lai 	以來	c=1 d=1 t=3279
yi lai 	依賴	c=6 d=1 t=7978
yi lian 	一臉	c=1 d=1.08511 t=6804
yi lian wu gu 	一臉無辜	c=1 d=1 t=6805
yi liang ge 	一兩個	c=1 d=1 t=1720
yi liao bai liao 	一了百了	c=1 d=1 t=4448
yi mo yi yang 	一模一樣	c=1 d=1 t=3423
yi nian 	一年	c=1 d=1 t=4206
yi pan 	一盤	c=1 d=1 t=2727
yi qi 	一期	c=2 d=1.98511 t=1905
yi qi 	一起	c=1 d=1 t=732
yi qian 	一千	c=0 d=0.1 t=3135
yi qian 	以前	c=3 d=1 t=7827
yi qian gen 	一千根	c=1 d=1 t=3136
yi qian you me 	以前有麼	c=1 d=1 t=1441
yi qiang 	一槍	c=1 d=1 t=1399
yi qie 	一切	c=1 d=1 t=2381
yi qing 	疫情	c=1 d=1 t=6568
yi ren 	一人	c=1 d=1 t=6121
yi se lie 	以色列	c=3 d=1 t=7773
yi shang 	以上	c=1 d=1 t=2212
yi sheng 	醫生	c=1 d=1 t=4790
yi si 	意思	c=7 d=1.00363 t=8050
yi suan 	一算	c=1 d=1 t=7728
yi suan 	乙酸	c=1 d=1 t=7727
yi tai 	一臺	c=0 d=0.1 t=2435
yi ti ji 	一體機	c=2 d=1 t=7490
yi tian 	一天	c=2 d=1.50677 t=3552
yi tian dao wan 	一天到晚	c=1 d=1 t=3040
yi tian nei 	一天內	c=1 d=1 t=1190
yi tiao 	一條	c=3 d=1.01106 t=5020
yi tiao tiao 	一條條	c=2 d=1.36604 t=4641
yi tiao xin 	一條心	c=1 d=1 t=2678
yi tiao yi tiao 	一條一條	c=1 d=1 t=4450
yi wei 	以爲	c=0 d=0.1 t=2461
yi xia 	一下	c=9 d=0.672854 t=8205
yi xie 	一些	c=2 d=1.00001 t=4429
yi yang 	一樣	c=4 d=1.00352 t=5672
yi zheng 	一整	c=0 d=0.1 t=2232
yi zheng kuai 	一整快	c=1 d=1 t=2233
yi zhi 	一直	c=4 d=1 t=8052
yi zhi 	一致	c=1 d=1 t=5550
yi zhi 	意志	c=0 d=0.1 t=6670
yi zhi zai 	一直在	c=0 d=0.1 t=4158
yi zhi zai yong 	一直在用	c=1 d=1 t=4159
yi zhong 	一種	c=1 d=1 t=7737
yi zhou 	一週	c=1 d=1 t=5266
yi zi 	椅子	c=1 d=1 t=5737
yin 	陰	c=2 d=1.85214 t=4923
yin dao 	引導	c=1 d=1 t=4016
yin er 	銀耳	c=0 d=0.1 t=5395
yin er tang 	銀耳湯	c=1 d=1 t=5396
yin hang 	銀行	c=2 d=1.00211 t=6727
yin he 	銀河	c=3 d=2.92168 t=5293
yin li 	陰曆	c=1 d=1 t=7832
yin man 	隱瞞	c=2 d=1.97531 t=3129
yin pan 	銀盤	c=1 d=1 t=2546
yin qing 	引擎	c=0 d=0.1 t=2808
yin shan 	陰山	c=1 d=1 t=6139
yin wei 	因爲	c=7 d=1.07967 t=7813
yin yuan 	音源	c=1 d=1 t=1327
yin yue 	音樂	c=1 d=1 t=1545
ying 	硬	c=1 d=1 t=2938
ying 	贏	c=2 d=1 t=6823
ying ai 	英愛	c=1 d=1 t=4270
ying dang 	應當	c=1 d=1 t=6222
ying dui 	應對	c=1 d=1 t=4845
ying gai 	應該	c=16 d=0.869693 t=7476
ying gai hao le 	應該好了	c=1 d=1 t=7477
ying gai shi 	應該是	c=1 d=1 t=6778
ying jian 	硬件	c=3 d=1.00035 t=5179
ying pan 	硬盤	c=21 d=5.48106 t=7447
ying pan su du 	硬盤速度	c=1 d=1 t=7425
ying wen 	英文	c=1 d=1 t=3095
ying xiang 	影響	c=3 d=1 t=7152
ying xiong 	英雄	c=4 d=1.00179 t=6428
ying xiong lian meng 	英雄聯盟	c=2 d=1.16613 t=5593
ying xiong liang meng 	英雄梁孟	c=1 d=1 t=5592
ying yong 	應用	c=5 d=1 t=8182
ying yu 	英語	c=3 d=1.00248 t=5051
ying yuan 	影院	c=2 d=1.96561 t=1106
ying zuo 	硬座	c=1 d=1 t=7363
yong 	用	c=37 d=1.11192 t=8218
yong bu shang 	用不上	c=2 d=1.03096 t=2249
yong de 	用的	c=1 d=1 t=1427
yong diao le 	用掉了	c=1 d=1 t=4428
yong hu 	用戶	c=19 d=0.771052 t=8218
yong hu ming 	用戶名	c=0 d=0.1 t=5378
yong hu ming mi ma 	用戶名密碼	c=1 d=1 t=5379
yong hu shu ju 	用戶數據	c=1 d=1 t=2085
yong hu zi liao 	用戶資料	c=1 d=1 t=152
yong huai 	用壞	c=1 d=1 t=5871
yong jiu 	永久	c=1 d=1 t=2592
yong wei xin 	用微信	c=1 d=1 t=2758
yong yong 	用用	c=1 d=1 t=5638
yong yuan 	永遠	c=1 d=1 t=6939
yong zhe ge 	用這個	c=3 d=2.12542 t=3583
you 	又	c=2 d=1.99005 t=6966
you 	右	c=6 d=1.85252 t=7789
you 	有	c=48 d=1.50731 t=8218
you 	由	c=1 d=1 t=2897
you a 	有啊	c=1 d=1 t=1114
you ban fa 	有辦法	c=1 d=1 t=3630
you bei 	又被	c=0 d=0.1 t=2788
you bei jing 	又被經	c=1 d=1 t=2789
you bi yao 	有必要	c=1 d=1 t=1780
you bian 	右邊	c=4 d=2.45293 t=6949
you bu shi 	又不是	c=1 d=1 t=2833
you de 	有的	c=3 d=1 t=7676
you dian 	優點	c=4 d=1 t=6044
you dian 	有點	c=4 d=0.100629 t=8126
you dian hu 	有點糊	c=1 d=1 t=8127
you dian huai 	有點壞	c=1 d=1 t=6960
you dian po 	有點破	c=1 d=1 t=6487
you duo chang 	有多長	c=1 d=1 t=3854
you duo gao 	有多高	c=1 d=1 t=3995
you ge 	有個	c=2 d=1 t=8078
you hen duo 	有很多	c=1 d=1 t=1035
you huan cun 	有緩存	c=1 d=1 t=404
you hui quan 	優惠券	c=2 d=1.02548 t=4423
you jian 	右鍵	c=1 d=1 t=8041
you le 	有了	c=0 d=0.1 t=1724
you leng 	又冷	c=1 d=1 t=5785
you me 	有麼	c=2 d=1.00001 t=6064
you mei you 	有沒有	c=5 d=1.04138 t=7317
you pai 	右派	c=1 d=1 t=6177
you qi 	尤其	c=1 d=1 t=2020
you qian 	有錢	c=3 d=1.00242 t=6752
you que dian 	優缺點	c=2 d=1.50662 t=5390
you ren 	有人	c=2 d=1.00003 t=3603
you shen me 	有什麼	c=5 d=0.955997 t=8218
you shi 	優勢	c=1 d=0.960789 t=8218
you shi 	又是	c=4 d=3.42074 t=4716
you tai 	猶太	c=3 d=2.78073 t=7904
you tai jiao 	猶太教	c=8 d=6.1283 t=7970
you tai ren 	猶太人	c=1 d=1 t=7923
you tong ji 	有統計	c=1 d=1 t=7206
you xi 	遊戲	c=2 d=1.00001 t=4798
you xie 	有些	c=5 d=1.81643 t=4624
you yao 	又要	c=1 d=1 t=6391
you yong 	有用	c=0 d=0.1 t=601
you yong 	游泳	c=5 d=4.94057 t=7466
you yong dao 	有用到	c=1 d=1 t=602
you you 	又有	c=1 d=1 t=1369
you yu 	憂鬱	c=1 d=1 t=5084
you yue 	有約	c=1 d=1 t=1640
you zai 	又在	c=1 d=1 t=804
you zhe dian 	悠着點	c=1 d=1 t=1197
you zhe ge 	有這個	c=1 d=1 t=160
you zhuan 	右轉	c=1 d=1 t=6942
you zhui qiu 	有追求	c=1 d=1 t=1328
you zi ji 	有自己	c=1 d=1 t=258
you zui 	有罪	c=2 d=1.98511 t=578
yu 	與	c=1 d=1 t=6294
yu 	餘	c=2 d=1.94176 t=6658
yu jiao 	餘嬌	c=1 d=1 t=6058
yu jiao 	魚膠	c=3 d=2.98506 t=6057
yu jing 	語境	c=1 d=1 t=679
yu jing 	預警	c=1 d=1 t=678
yu ju 	語句	c=1 d=1 t=3973
yu liu 	預留	c=0 d=0.1 t=4960
yu yue 	預約	c=1 d=0.1 t=6719
yu yue le 	預約了	c=1 d=1 t=6720
yuan 	元	c=1 d=1 t=7189
yuan 	源	c=5 d=0.104666 t=6653
yuan cheng 	遠程	c=7 d=1.00861 t=8104
yuan dan 	元旦	c=1 d=1 t=7177
yuan lai 	原來	c=4 d=2.70146 t=8101
yuan li 	原理	c=1 d=1 t=877
yuan qu 	園區	c=1 d=1 t=5721
yuan shi kai 	袁世凱	c=1 d=1 t=2622
yuan su 	元素	c=1 d=1 t=3929
yuan tou 	源頭	c=1 d=1 t=4731
yuan wen 	原文	c=1 d=1 t=316
yuan zhu 	原著	c=1 d=1 t=5067
yue 	月	c=4 d=1 t=7330
yue 	越	c=8 d=5.70022 t=7329
yue da 	越大	c=1 d=1 t=2947
yue di 	月底	c=1 d=1 t=807
yue fen 	月份	c=1 d=1 t=7627
yue gan jing 	越乾淨	c=1 d=1 t=7273
yue lai yue 	越來越	c=1 d=1 t=6893
yun 	運	c=1 d=1 t=5824
yun 	雲	c=1 d=0.100039 t=7212
yun chu 	運出	c=1 d=1 t=5827
yun dong 	運動	c=1 d=1 t=6296
yun fu wu qi 	雲服務器	c=4 d=1.02265 t=5210
yun pan 	雲盤	c=3 d=2.96546 t=4232
yun shan 	雲山	c=1 d=1 t=7060
yun shan fu 	雲閃付	c=1 d=1 t=7061
yun xing 	運行	c=10 d=1.89583 t=8170
yun ying 	運營	c=0 d=0.1 t=4834
za 	咋	c=15 d=1.7561 t=8089
za bu zhi chi 	咋不支持	c=1 d=1 t=4530
za zuo 	咋做	c=1 d=1 t=1234
zai 	再	c=7 d=1 t=8015
zai 	在	c=35 d=1.18998 t=7906
zai jia 	在家	c=2 d=1.01507 t=2448
zai jian chi 	在堅持	c=1 d=1 t=338
zai kan kan 	再看看	c=2 d=1 t=7165
zai lai 	再來	c=3 d=1.16696 t=5024
zai le 	宰了	c=1 d=1 t=6431
zai na 	在哪	c=3 d=1.00001 t=7487
zai na kan 	在哪看	c=1 d=1 t=3258
zai qian 	在前	c=1 d=1 t=7965
zai qu 	再去	c=1 d=1 t=3661
zai xian 	在線	c=1 d=1 t=128
zai zhe li 	在這裏	c=1 d=1 t=7054
zan 	咱	c=2 d=1 t=6095
zan 	暫	c=1 d=1 t=7544
zan 	讚	c=42 d=2.00288 t=8065
zan cun 	暫存	c=1 d=1 t=7558
zan ting 	暫停	c=1 d=1 t=1255
zang 	髒	c=1 d=1 t=6504
zao 	早	c=1 d=1 t=5246
zao shang 	早上	c=2 d=0.1 t=6015
zao shu 	早熟	c=1 d=1 t=1663
ze 	則	c=3 d=2.23407 t=2114
zen me 	怎麼	c=59 d=1.96493 t=8218
zen me bu 	怎麼不	c=1 d=1 t=3900
zen me bu neng 	怎麼不能	c=1 d=1 t=1108
zen me kan 	怎麼看	c=1 d=1 t=7440
zen me xie 	怎麼寫	c=1 d=1 t=5423
zen me yang 	怎麼樣	c=2 d=1.03005 t=6743
zen me ye 	怎麼也	c=1 d=1 t=1588
zeng jia 	增加	c=1 d=1 t=7667
zhan ji 	戰績	c=1 d=1 t=6482
zhan yong 	佔用	c=1 d=1 t=2097
zhan you 	戰友	c=1 d=1 t=309
zhang 	張	c=1 d=1 t=1084
zhang 	漲	c=1 d=1 t=2302
zhang 	章	c=2 d=1.96561 t=3764
zhang 	賬	c=1 d=1 t=5338
zhang 	長	c=2 d=1.00002 t=5724
zhang chu 	張楚	c=2 d=1.99501 t=1341
zhang hao 	帳號	c=3 d=1 t=7794
zhang ji 	張繼	c=0 d=0.1 t=8140
zhang ji 	掌機	c=1 d=1 t=5086
zhang ji ke 	張繼科	c=1 d=1 t=8141
zhang yi xing 	張藝興	c=3 d=2.92712 t=6373
zhao 	找	c=2 d=1 t=6538
zhao 	照	c=1 d=1 t=5878
zhao ban 	照搬	c=1 d=1 t=3998
zhao chu 	找出	c=1 d=1 t=674
zhao ge 	找個	c=2 d=1.76721 t=1590
zhao ji 	着急	c=2 d=1.99005 t=6818
zhao tai 	找臺	c=1 d=1 t=5225
zhe 	折	c=2 d=1.66034 t=4732
zhe 	着	c=6 d=1.46505 t=5879
zhe 	者	c=7 d=1.64618 t=6831
zhe 	這	c=30 d=0.257874 t=8218
zhe bi 	這比	c=1 d=1 t=989
zhe bian 	這邊	c=1 d=1 t=5571
zhe bo 	這波	c=1 d=1 t=5689
zhe bo bi 	這波比	c=1 d=1 t=4802
zhe bu he li 	這不合理	c=1 d=1 t=3933
zhe bu shi 	這不是	c=1 d=1 t=4376
zhe dian 	這點	c=1 d=1 t=7859
zhe fen qu 	這分區	c=1 d=1 t=2383
zhe fu zhu 	這輔助	c=4 d=1.25549 t=8203
zhe ge 	這個	c=44 d=0.913931 t=8218
zhe guang gao 	這廣告	c=1 d=1 t=1455
zhe hai 	這還	c=1 d=1 t=5475
zhe hui 	這回	c=1 d=1 t=7769
zhe ji 	這幾	c=0 d=0.1 t=1692
zhe ji ge 	這幾個	c=1 d=1 t=6356
zhe ji jia 	這幾家	c=1 d=1 t=1693
zhe jiang 	浙江	c=5 d=2.81003 t=6686
zhe jiu shi 	這就是	c=2 d=1.96079 t=5030
zhe ju 	這句	c=1 d=1 t=3094
zhe li 	這裏	c=4 d=1 t=7744
zhe li mian 	這裏面	c=1 d=1 t=2030
zhe liang 	這輛	c=1 d=0.100151 t=6377
zhe liang che 	這輛車	c=1 d=1 t=3223
zhe liang ge 	這兩個	c=2 d=1 t=5363
zhe liang nian 	這兩年	c=2 d=1.00003 t=5964
zhe liang tian 	這兩天	c=1 d=1 t=3691
zhe me 	這麼	c=9 d=1.00328 t=7299
zhe me duo 	這麼多	c=2 d=1.01795 t=6079
zhe me ge 	這麼個	c=0 d=0.1 t=5167
zhe me hao 	這麼好	c=1 d=1 t=4034
zhe me wan 	這麼晚	c=0 d=0.1 t=6829
zhe pi fu 	這皮膚	c=1 d=1 t=3943
zhe quan qi lai 	這圈起來	c=1 d=1 t=3006
zhe ren 	這人	c=2 d=1.04954 t=6744
zhe sha 	折殺	c=1 d=1 t=2314
zhe shi 	這事	c=1 d=1 t=4498
zhe shi 	這是	c=9 d=0.822835 t=8218
zhe tian 	這天	c=1 d=1 t=7908
zhe tiao 	這條	c=1 d=1 t=2682
zhe wan yi 	這玩意	c=1 d=1 t=226
zhe wen jian 	這文件	c=1 d=1 t=7619
zhe xie 	這些	c=5 d=1.00017 t=8087
zhe xie ren 	這些人	c=1 d=1 t=7452
zhe xue 	哲學	c=2 d=1.30575 t=5494
zhe yang 	這樣	c=7 d=1.35502 t=8035
zhe yao 	這要	c=1 d=1 t=7804
zhe zen me 	這怎麼	c=1 d=0.744532 t=8218
zhe zhang 	這張	c=1 d=1 t=6735
zhe zhong 	這種	c=7 d=1 t=8076
zhe zhong ge shi 	這種格式	c=1 d=1 t=453
zhe zhong qing kuang 	這種情況	c=1 d=1 t=2972
zhe zhong ruan jian 	這種軟件	c=1 d=1 t=3800
zhe zhou 	這週	c=1 d=1 t=5780
zhen 	幀	c=1 d=1 t=5235
zhen 	真	c=7 d=1.00206 t=7023
zhen 	針	c=1 d=1 t=3137
zhen 	陣	c=1 d=1 t=3947
zhen bang 	真棒	c=1 d=1 t=3988
zhen de 	真的	c=1 d=1 t=572
zhen han 	震撼	c=0 d=0.1 t=6367
zhen hao 	真好	c=1 d=1 t=4656
zhen hao yong 	真好用	c=1 d=1 t=71
zhen jia 	真假	c=1 d=1 t=570
zhen jiang 	鎮江	c=2 d=1.94176 t=5970
zhen mei 	真沒	c=1 d=1 t=7795
zhen ren 	真人	c=1 d=1 t=6170
zhen shen 	真身	c=1 d=1 t=5584
zhen shi 	真實	c=1 d=0.104472 t=4082
zhen shi 	真是	c=1 d=1 t=2992
zhen ying 	陣營	c=1 d=1 t=1741
zhen zheng 	真正	c=0 d=0.1 t=1757
zhen zhu gang 	珍珠港	c=1 d=1 t=1014
zheng 	整	c=5 d=1.14301 t=7174
zheng 	正	c=4 d=1.00038 t=4439
zheng ce 	政策	c=1 d=1 t=7194
zheng chang 	正常	c=5 d=1.63231 t=7234
zheng chang mai 	正常買	c=1 d=1 t=1304
zheng dian 	整點	c=1 d=1 t=7454
zheng fu 	政府	c=2 d=1.99501 t=2643
zheng ge 	整個	c=6 d=0.852144 t=8218
zheng hao 	正好	c=1 d=1 t=7357
zheng le 	整了	c=0 d=0.1 t=90
zheng le tai 	整了臺	c=1 d=1 t=91
zheng que 	正確	c=1 d=1 t=8135
zheng shu 	證書	c=1 d=1 t=4190
zheng si 	整死	c=1 d=1 t=845
zheng ti 	整體	c=1 d=1 t=2333
zheng xing 	整形	c=1 d=1 t=346
zheng yi 	正義	c=0 d=0.1 t=7299
zhi 	之	c=1 d=1 t=6247
zhi 	只	c=9 d=1.00002 t=7578
zhi 	支	c=1 d=1 t=5381
zhi bo 	直播	c=1 d=0.100002 t=5734
zhi bo jian 	直播間	c=1 d=1 t=5735
zhi chi 	支持	c=16 d=0.121139 t=7301
zhi chi wo 	支持我	c=1 d=1 t=7302
zhi chu 	指出	c=1 d=1 t=3112
zhi dao 	知道	c=6 d=1.07106 t=7030
zhi ding 	指定	c=2 d=1 t=7428
zhi fan 	只反	c=1 d=1 t=1881
